"대여일자","사용자코드","성별","연령대코드","신규가입자수"
"2018-06-14","회원-내국인","M","60대","13"
"2018-06-14","회원-내국인","M","50대","30"
"2018-06-14","회원-내국인","M","40대","71"
"2018-06-14","회원-내국인","M","30대","172"
"2018-06-14","회원-내국인","M","20대","288"
"2018-06-14","회원-내국인","F","~10대","19"
"2018-06-14","회원-내국인","F","70대~","2"
"2018-06-14","회원-내국인","F","60대","2"
"2018-06-14","회원-내국인","F","50대","39"
"2018-06-14","회원-내국인","F","40대","59"
"2018-06-14","회원-내국인","F","30대","123"
"2018-06-14","회원-내국인","F","20대","307"
"2018-06-13","회원-내국인","M","~10대","40"
"2018-06-13","회원-내국인","M","70대~","7"
"2018-06-13","회원-내국인","M","60대","17"
"2018-06-13","회원-내국인","M","50대","72"
"2018-06-13","회원-내국인","M","40대","261"
"2018-06-13","회원-내국인","M","30대","458"
"2018-06-13","회원-내국인","M","20대","573"
"2018-06-13","회원-내국인","F","~10대","48"
"2018-06-13","회원-내국인","F","70대~","8"
"2018-06-13","회원-내국인","F","60대","10"
"2018-06-13","회원-내국인","F","50대","74"
"2018-06-13","회원-내국인","F","40대","161"
"2018-06-13","회원-내국인","F","30대","328"
"2018-06-13","회원-내국인","F","20대","675"
"2018-06-12","회원-내국인","M","~10대","30"
"2018-06-12","회원-내국인","M","70대~","3"
"2018-06-12","회원-내국인","M","60대","5"
"2018-06-12","회원-내국인","M","50대","46"
"2018-06-12","회원-내국인","M","40대","85"
"2018-06-12","회원-내국인","M","30대","247"
"2018-06-12","회원-내국인","M","20대","386"
"2018-06-12","회원-내국인","F","~10대","28"
"2018-06-12","회원-내국인","F","70대~","1"
"2018-06-12","회원-내국인","F","60대","8"
"2018-06-12","회원-내국인","F","50대","34"
"2018-06-12","회원-내국인","F","40대","72"
"2018-06-12","회원-내국인","F","30대","177"
"2018-06-12","회원-내국인","F","20대","488"
"2018-06-12","회원-내국인","","70대~","1"
"2018-06-11","회원-내국인","M","~10대","29"
"2018-06-11","회원-내국인","M","70대~","4"
"2018-06-11","회원-내국인","M","60대","4"
"2018-06-11","회원-내국인","M","50대","39"
"2018-06-11","회원-내국인","M","40대","120"
"2018-06-11","회원-내국인","M","30대","182"
"2018-06-11","회원-내국인","M","20대","286"
"2018-06-11","회원-내국인","F","~10대","24"
"2018-06-11","회원-내국인","F","70대~","5"
"2018-06-11","회원-내국인","F","60대","6"
"2018-06-11","회원-내국인","F","50대","30"
"2018-06-11","회원-내국인","F","40대","67"
"2018-06-11","회원-내국인","F","30대","143"
"2018-06-11","회원-내국인","F","20대","290"
"2018-06-10","회원-내국인","M","~10대","54"
"2018-06-10","회원-내국인","M","70대~","3"
"2018-06-10","회원-내국인","M","60대","13"
"2018-06-10","회원-내국인","M","50대","92"
"2018-06-10","회원-내국인","M","40대","241"
"2018-06-10","회원-내국인","M","30대","439"
"2018-06-10","회원-내국인","M","20대","692"
"2018-06-10","회원-내국인","F","~10대","70"
"2018-06-10","회원-내국인","F","70대~","8"
"2018-06-10","회원-내국인","F","60대","10"
"2018-06-10","회원-내국인","F","50대","71"
"2018-06-10","회원-내국인","F","40대","175"
"2018-06-10","회원-내국인","F","30대","395"
"2018-06-10","회원-내국인","F","20대","811"
"2018-06-09","회원-내국인","M","~10대","36"
"2018-06-09","회원-내국인","M","70대~","6"
"2018-06-09","회원-내국인","M","60대","9"
"2018-06-09","회원-내국인","M","50대","63"
"2018-06-09","회원-내국인","M","40대","184"
"2018-06-09","회원-내국인","M","30대","342"
"2018-06-09","회원-내국인","M","20대","568"
"2018-06-09","회원-내국인","F","~10대","64"
"2018-06-09","회원-내국인","F","70대~","3"
"2018-06-09","회원-내국인","F","60대","3"
"2018-06-09","회원-내국인","F","50대","50"
"2018-06-09","회원-내국인","F","40대","119"
"2018-06-09","회원-내국인","F","30대","248"
"2018-06-09","회원-내국인","F","20대","629"
"2018-06-09","회원-내국인","","70대~","1"
"2018-06-08","회원-내국인","M","~10대","42"
"2018-06-08","회원-내국인","M","70대~","1"
"2018-06-08","회원-내국인","M","60대","18"
"2018-06-08","회원-내국인","M","50대","55"
"2018-06-08","회원-내국인","M","40대","135"
"2018-06-08","회원-내국인","M","30대","290"
"2018-06-08","회원-내국인","M","20대","520"
"2018-06-08","회원-내국인","F","~10대","51"
"2018-06-08","회원-내국인","F","70대~","2"
"2018-06-08","회원-내국인","F","60대","15"
"2018-06-08","회원-내국인","F","50대","51"
"2018-06-08","회원-내국인","F","40대","83"
"2018-06-08","회원-내국인","F","30대","214"
"2018-06-08","회원-내국인","F","20대","634"
"2018-06-07","회원-내국인","M","~10대","32"
"2018-06-07","회원-내국인","M","70대~","5"
"2018-06-07","회원-내국인","M","60대","15"
"2018-06-07","회원-내국인","M","50대","60"
"2018-06-07","회원-내국인","M","40대","126"
"2018-06-07","회원-내국인","M","30대","271"
"2018-06-07","회원-내국인","M","20대","457"
"2018-06-07","회원-내국인","F","~10대","42"
